name,fold1_bias,fold2_bias,fold3_bias,all_agree,last_two_agree,stability_score,OOF_recency
v10_baseline_tau0.5_ch08,-1.44,-0.529,-2.016,True,True,1.0665,0.4149
v10_baseline_tau0.5_chABC05_brand03,-3.063,-1.83,-3.22,True,True,5.8926,0.4222
v10_baseline_tau0.5_ch08_chABC_brand,-0.763,0.194,-1.382,False,False,-0.2681,0.413
v10_baseline_tau0.52_ch08,-1.448,-0.535,-1.997,True,True,1.0684,0.415
v10_baseline_tau0.52_chABC05_brand03,-3.071,-1.833,-3.201,True,True,5.8674,0.4222
v10_baseline_tau0.52_ch08_chABC_brand,-0.771,0.187,-1.364,False,False,-0.2551,0.413
v10_baseline_tau0.55_ch08,-1.497,-0.544,-1.968,True,True,1.0706,0.415
v10_baseline_tau0.55_chABC05_brand03,-3.113,-1.838,-3.17,True,True,5.8265,0.4223
v10_baseline_tau0.55_ch08_chABC_brand,-0.826,0.177,-1.337,False,False,-0.2366,0.413
v10+v11_recent_only_tau0.5_ch08,-1.815,-0.434,-2.211,True,True,0.9596,0.415
v10+v11_recent_only_tau0.5_chABC05_brand03,-3.42,-1.764,-3.451,True,True,6.0876,0.4224
v10+v11_recent_only_tau0.5_ch08_chABC_brand,-1.147,0.304,-1.553,False,False,-0.4721,0.4131
v10+v11_recent_only_tau0.52_ch08,-1.861,-0.438,-2.195,True,True,0.9614,0.415
v10+v11_recent_only_tau0.52_chABC05_brand03,-3.464,-1.767,-3.434,True,True,6.1209,0.4224
v10+v11_recent_only_tau0.52_ch08_chABC_brand,-1.195,0.3,-1.537,False,False,-0.4611,0.4131
v10+v11_recent_only_tau0.55_ch08,-1.97,-0.443,-2.164,True,True,0.9587,0.4151
v10+v11_recent_only_tau0.55_chABC05_brand03,-3.562,-1.77,-3.403,True,True,6.3047,0.4225
v10+v11_recent_only_tau0.55_ch08_chABC_brand,-1.311,0.296,-1.507,False,False,-0.4461,0.4132
v10+v11_g93_tau0.5_ch08,-1.838,-0.199,-2.206,True,True,0.439,0.4153
v10+v11_g93_tau0.5_chABC05_brand03,-3.453,-1.532,-3.416,True,True,5.29,0.4227
v10+v11_g93_tau0.5_ch08_chABC_brand,-1.173,0.54,-1.574,False,False,-0.85,0.4143
v10+v11_g93_tau0.52_ch08,-1.86,-0.213,-2.196,True,True,0.4677,0.4154
v10+v11_g93_tau0.52_chABC05_brand03,-3.475,-1.542,-3.405,True,True,5.3585,0.4227
v10+v11_g93_tau0.52_ch08_chABC_brand,-1.197,0.525,-1.565,False,False,-0.8216,0.4143
v10+v11_g93_tau0.55_ch08,-1.924,-0.231,-2.176,True,True,0.5027,0.4155
v10+v11_g93_tau0.55_chABC05_brand03,-3.53,-1.556,-3.385,True,True,5.4927,0.4228
v10+v11_g93_tau0.55_ch08_chABC_brand,-1.266,0.505,-1.547,False,False,-0.7812,0.4143
v10+v11_g90_tau0.5_ch08,-2.017,-0.197,-2.29,True,True,0.4511,0.4149
v10+v11_g90_tau0.5_chABC05_brand03,-3.632,-1.553,-3.517,True,True,5.6405,0.4223
v10+v11_g90_tau0.5_ch08_chABC_brand,-1.361,0.553,-1.651,False,False,-0.913,0.4139
v10+v11_g90_tau0.52_ch08,-2.042,-0.205,-2.278,True,True,0.467,0.4148
v10+v11_g90_tau0.52_chABC05_brand03,-3.657,-1.558,-3.505,True,True,5.6976,0.4223
v10+v11_g90_tau0.52_ch08_chABC_brand,-1.387,0.545,-1.641,False,False,-0.8943,0.4139
v10+v11_g90_tau0.55_ch08,-2.096,-0.217,-2.257,True,True,0.4898,0.4149
v10+v11_g90_tau0.55_chABC05_brand03,-3.705,-1.566,-3.483,True,True,5.802,0.4224
v10+v11_g90_tau0.55_ch08_chABC_brand,-1.444,0.531,-1.621,False,False,-0.8608,0.4139
v10+v11_chronos_tau0.5_ch08,-1.44,-0.529,-2.016,True,True,1.0665,0.4149
v10+v11_chronos_tau0.5_chABC05_brand03,-3.063,-1.83,-3.22,True,True,5.8926,0.4222
v10+v11_chronos_tau0.5_ch08_chABC_brand,-0.763,0.194,-1.382,False,False,-0.2681,0.413
v10+v11_chronos_tau0.52_ch08,-1.448,-0.535,-1.997,True,True,1.0684,0.415
v10+v11_chronos_tau0.52_chABC05_brand03,-3.071,-1.833,-3.201,True,True,5.8674,0.4222
v10+v11_chronos_tau0.52_ch08_chABC_brand,-0.771,0.187,-1.364,False,False,-0.2551,0.413
v10+v11_chronos_tau0.55_ch08,-1.497,-0.544,-1.968,True,True,1.0706,0.415
v10+v11_chronos_tau0.55_chABC05_brand03,-3.113,-1.838,-3.17,True,True,5.8265,0.4223
v10+v11_chronos_tau0.55_ch08_chABC_brand,-0.826,0.177,-1.337,False,False,-0.2366,0.413
v10+v12_multiseed_tau0.5_ch08,-1.659,-0.301,-2.321,True,True,0.6986,0.4137
v10+v12_multiseed_tau0.5_chABC05_brand03,-3.278,-1.672,-3.575,True,True,5.9774,0.4212
v10+v12_multiseed_tau0.5_ch08_chABC_brand,-0.987,0.463,-1.656,False,False,-0.7667,0.4122
v10+v12_multiseed_tau0.52_ch08,-1.672,-0.299,-2.308,True,True,0.6901,0.4136
v10+v12_multiseed_tau0.52_chABC05_brand03,-3.291,-1.67,-3.562,True,True,5.9485,0.4212
v10+v12_multiseed_tau0.52_ch08_chABC_brand,-1.001,0.466,-1.643,False,False,-0.7656,0.4121
v10+v12_multiseed_tau0.55_ch08,-1.73,-0.309,-2.28,True,True,0.7045,0.4136
v10+v12_multiseed_tau0.55_chABC05_brand03,-3.341,-1.679,-3.535,True,True,5.9353,0.4211
v10+v12_multiseed_tau0.55_ch08_chABC_brand,-1.065,0.457,-1.616,False,False,-0.7385,0.4121
v10+v12_intermittent_tau0.5_ch08,-1.44,-0.529,-1.992,True,True,1.0538,0.4149
v10+v12_intermittent_tau0.5_chABC05_brand03,-3.063,-1.83,-3.197,True,True,5.8505,0.4221
v10+v12_intermittent_tau0.5_ch08_chABC_brand,-0.763,0.194,-1.358,False,False,-0.2635,0.413
v10+v12_intermittent_tau0.52_ch08,-1.448,-0.535,-1.971,True,True,1.0545,0.4149
v10+v12_intermittent_tau0.52_chABC05_brand03,-3.071,-1.833,-3.175,True,True,5.8198,0.4221
v10+v12_intermittent_tau0.52_ch08_chABC_brand,-0.771,0.187,-1.338,False,False,-0.2502,0.413
v10+v12_intermittent_tau0.55_ch08,-1.497,-0.544,-1.938,True,True,1.0543,0.415
v10+v12_intermittent_tau0.55_chABC05_brand03,-3.113,-1.838,-3.141,True,True,5.7732,0.4222
v10+v12_intermittent_tau0.55_ch08_chABC_brand,-0.826,0.177,-1.308,False,False,-0.2315,0.4129
v10+v12_external_tau0.5_ch08,-2.228,0.363,-1.391,False,False,-0.8088,0.4113
v10+v12_external_tau0.5_chABC05_brand03,-3.833,-1.055,-2.653,True,True,4.0438,0.4176
v10+v12_external_tau0.5_ch08_chABC_brand,-1.562,1.152,-0.726,False,False,-1.7994,0.4108
v10+v12_external_tau0.52_ch08,-2.283,0.373,-1.36,False,False,-0.8516,0.4112
v10+v12_external_tau0.52_chABC05_brand03,-3.886,-1.045,-2.623,True,True,4.0609,0.4176
v10+v12_external_tau0.52_ch08_chABC_brand,-1.618,1.164,-0.695,False,False,-1.8834,0.4108
v10+v12_external_tau0.55_ch08,-2.398,0.379,-1.308,False,False,-0.9088,0.4113
v10+v12_external_tau0.55_chABC05_brand03,-3.992,-1.038,-2.571,True,True,4.1437,0.4176
v10+v12_external_tau0.55_ch08_chABC_brand,-1.739,1.17,-0.644,False,False,-2.0346,0.4108
v10+v11g93+v12ext_tau0.5_ch08,-2.349,0.388,-1.526,False,False,-0.9114,0.4119
v10+v11g93+v12ext_tau0.5_chABC05_brand03,-3.947,-1.027,-2.786,True,True,4.0536,0.4182
v10+v11g93+v12ext_tau0.5_ch08_chABC_brand,-1.691,1.178,-0.865,False,False,-1.992,0.4115
v10+v11g93+v12ext_tau0.52_ch08,-2.409,0.397,-1.494,False,False,-0.9564,0.4119
v10+v11g93+v12ext_tau0.52_chABC05_brand03,-4.004,-1.019,-2.754,True,True,4.0801,0.4182
v10+v11g93+v12ext_tau0.52_ch08_chABC_brand,-1.752,1.188,-0.833,False,False,-2.0814,0.4115
v10+v11g93+v12ext_tau0.55_ch08,-2.526,0.402,-1.441,False,False,-1.0155,0.412
v10+v11g93+v12ext_tau0.55_chABC05_brand03,-4.113,-1.013,-2.702,True,True,4.1665,0.4182
v10+v11g93+v12ext_tau0.55_ch08_chABC_brand,-1.875,1.194,-0.781,False,False,-2.2388,0.4115
v10+v11ro+v12ext_tau0.5_ch08,-2.289,0.363,-1.403,False,False,-0.8309,0.4114
v10+v11ro+v12ext_tau0.5_chABC05_brand03,-3.89,-1.055,-2.665,True,True,4.104,0.4178
v10+v11ro+v12ext_tau0.5_ch08_chABC_brand,-1.625,1.152,-0.737,False,False,-1.872,0.411
v10+v11ro+v12ext_tau0.52_ch08,-2.356,0.373,-1.375,False,False,-0.8788,0.4114
v10+v11ro+v12ext_tau0.52_chABC05_brand03,-3.954,-1.045,-2.638,True,True,4.1319,0.4178
v10+v11ro+v12ext_tau0.52_ch08_chABC_brand,-1.693,1.164,-0.71,False,False,-1.9707,0.411
v10+v11ro+v12ext_tau0.55_ch08,-2.487,0.379,-1.328,False,False,-0.9426,0.4115
v10+v11ro+v12ext_tau0.55_chABC05_brand03,-4.075,-1.038,-2.591,True,True,4.2298,0.4178
v10+v11ro+v12ext_tau0.55_ch08_chABC_brand,-1.831,1.17,-0.663,False,False,-2.1423,0.4111
v10+all_v11_tau0.5_ch08,-2.261,-0.138,-2.427,True,True,0.3349,0.4153
v10+all_v11_tau0.5_chABC05_brand03,-3.863,-1.502,-3.672,True,True,5.8022,0.4229
v10+all_v11_tau0.5_ch08_chABC_brand,-1.612,0.616,-1.774,False,False,-1.0928,0.4144
v10+all_v11_tau0.52_ch08,-2.317,-0.147,-2.423,True,True,0.3562,0.4153
v10+all_v11_tau0.52_chABC05_brand03,-3.916,-1.51,-3.668,True,True,5.9132,0.4229
v10+all_v11_tau0.52_ch08_chABC_brand,-1.67,0.608,-1.772,False,False,-1.0774,0.4145
v10+all_v11_tau0.55_ch08,-2.414,-0.158,-2.418,True,True,0.382,0.4154
v10+all_v11_tau0.55_chABC05_brand03,-4.005,-1.518,-3.664,True,True,6.0796,0.423
v10+all_v11_tau0.55_ch08_chABC_brand,-1.772,0.596,-1.768,False,False,-1.0561,0.4145
v10+all_v12_tau0.5_ch08,-2.267,0.188,-1.537,False,False,-0.4262,0.4111
v10+all_v12_tau0.5_chABC05_brand03,-3.86,-1.224,-2.801,True,True,4.7246,0.4181
v10+all_v12_tau0.5_ch08_chABC_brand,-1.602,0.974,-0.871,False,False,-1.5603,0.4107
v10+all_v12_tau0.52_ch08,-2.324,0.186,-1.501,False,False,-0.4323,0.4111
v10+all_v12_tau0.52_chABC05_brand03,-3.915,-1.226,-2.766,True,True,4.7998,0.4181
v10+all_v12_tau0.52_ch08_chABC_brand,-1.661,0.973,-0.836,False,False,-1.6162,0.4106
v10+all_v12_tau0.55_ch08,-2.443,0.169,-1.443,False,False,-0.4129,0.4111
v10+all_v12_tau0.55_chABC05_brand03,-4.025,-1.239,-2.708,True,True,4.987,0.418
v10+all_v12_tau0.55_ch08_chABC_brand,-1.785,0.957,-0.779,False,False,-1.7082,0.4106
v10+all_optional_tau0.5_ch08,-2.487,0.155,-1.841,False,False,-0.3855,0.4125
v10+all_optional_tau0.5_chABC05_brand03,-4.077,-1.255,-3.107,True,True,5.1166,0.4196
v10+all_optional_tau0.5_ch08_chABC_brand,-1.842,0.94,-1.181,False,False,-1.7315,0.4121
v10+all_optional_tau0.52_ch08,-2.551,0.159,-1.822,False,False,-0.4056,0.4125
v10+all_optional_tau0.52_chABC05_brand03,-4.137,-1.251,-3.089,True,True,5.1754,0.4196
v10+all_optional_tau0.52_ch08_chABC_brand,-1.908,0.945,-1.163,False,False,-1.8031,0.4121
v10+all_optional_tau0.55_ch08,-2.661,0.149,-1.785,False,False,-0.3965,0.4125
v10+all_optional_tau0.55_chABC05_brand03,-4.24,-1.259,-3.052,True,True,5.3382,0.4197
v10+all_optional_tau0.55_ch08_chABC_brand,-2.022,0.935,-1.127,False,False,-1.8906,0.4121
v10+all_v11+v12ext_tau0.5_ch08,-2.428,0.279,-1.766,False,False,-0.6774,0.4125
v10+all_v11+v12ext_tau0.5_chABC05_brand03,-4.025,-1.135,-3.031,True,True,4.5684,0.4192
v10+all_v11+v12ext_tau0.5_ch08_chABC_brand,-1.78,1.067,-1.107,False,False,-1.8993,0.4121
v10+all_v11+v12ext_tau0.52_ch08,-2.491,0.292,-1.753,False,False,-0.7274,0.4126
v10+all_v11+v12ext_tau0.52_chABC05_brand03,-4.085,-1.123,-3.018,True,True,4.5875,0.4193
v10+all_v11+v12ext_tau0.52_ch08_chABC_brand,-1.846,1.081,-1.094,False,False,-1.9955,0.4122
v10+all_v11+v12ext_tau0.55_ch08,-2.601,0.298,-1.723,False,False,-0.7751,0.4126
v10+all_v11+v12ext_tau0.55_chABC05_brand03,-4.187,-1.115,-2.988,True,True,4.6685,0.4193
v10+all_v11+v12ext_tau0.55_ch08_chABC_brand,-1.959,1.088,-1.065,False,False,-2.1314,0.4123
