helper,lambda,OOF_recency,OOF_bias_recency_pct,most_recent_fold_bias_pct,robust_objective
v12_external,0.0,0.4069,-0.551,-0.853,0.4112
v12_external,0.025,0.4071,-0.686,-0.957,0.4118
v12_external,0.05,0.4073,-0.822,-1.062,0.4126
v12_external,0.075,0.4074,-0.957,-1.167,0.4132
v12_external,0.1,0.4076,-1.092,-1.271,0.4139
v12_external,0.125,0.4079,-1.228,-1.376,0.4148
v12_external,0.15,0.4085,-1.364,-1.481,0.4159
v12_external,0.175,0.4091,-1.498,-1.585,0.417
v12_external,0.2,0.4097,-1.634,-1.69,0.4182
v12_external,0.225,0.4104,-1.77,-1.795,0.4194
v12_external,0.25,0.411,-1.906,-1.9,0.4206
v12_external,0.275,0.4117,-2.041,-2.004,0.4219
v12_external,0.3,0.4124,-2.176,-2.109,0.4233
v12_external,0.325,0.4131,-2.312,-2.214,0.4247
v12_external,0.35,0.4139,-2.447,-2.318,0.4261
v12_external,0.375,0.4146,-2.583,-2.423,0.4275
v12_external,0.4,0.4153,-2.719,-2.528,0.4289
v11_g93,0.0,0.4069,-0.551,-0.853,0.4112
v11_g93,0.025,0.4074,-0.721,-1.041,0.4126
v11_g93,0.05,0.4079,-0.892,-1.23,0.414
v11_g93,0.075,0.4084,-1.063,-1.419,0.4155
v11_g93,0.1,0.4089,-1.234,-1.608,0.4169
v11_g93,0.125,0.4096,-1.404,-1.796,0.4186
v11_g93,0.15,0.4106,-1.575,-1.985,0.4205
v11_g93,0.175,0.4115,-1.746,-2.174,0.4224
v11_g93,0.2,0.4125,-1.917,-2.363,0.4243
v11_g93,0.225,0.4135,-2.088,-2.551,0.4263
v11_g93,0.25,0.4145,-2.259,-2.74,0.4282
v11_g93,0.275,0.4156,-2.43,-2.929,0.4303
v11_g93,0.3,0.4167,-2.601,-3.118,0.4323
v11_g93,0.325,0.4177,-2.771,-3.306,0.4342
v11_g93,0.35,0.4188,-2.942,-3.495,0.4363
v11_g93,0.375,0.4199,-3.113,-3.684,0.4384
v11_g93,0.4,0.4211,-3.284,-3.873,0.4405
v11_g90,0.0,0.4069,-0.551,-0.853,0.4112
v11_g90,0.025,0.4073,-0.73,-1.04,0.4124
v11_g90,0.05,0.4076,-0.91,-1.226,0.4137
v11_g90,0.075,0.4079,-1.089,-1.413,0.415
v11_g90,0.1,0.4084,-1.269,-1.6,0.4164
v11_g90,0.125,0.4093,-1.449,-1.787,0.4182
v11_g90,0.15,0.4102,-1.629,-1.974,0.4201
v11_g90,0.175,0.4111,-1.808,-2.161,0.4219
v11_g90,0.2,0.412,-1.988,-2.348,0.4238
v11_g90,0.225,0.413,-2.168,-2.535,0.4256
v11_g90,0.25,0.4139,-2.348,-2.722,0.4275
v11_g90,0.275,0.4149,-2.527,-2.908,0.4294
v11_g90,0.3,0.4159,-2.707,-3.095,0.4314
v11_g90,0.325,0.4169,-2.886,-3.282,0.4333
v11_g90,0.35,0.4179,-3.066,-3.469,0.4353
v11_g90,0.375,0.419,-3.246,-3.656,0.4373
v11_g90,0.4,0.42,-3.425,-3.843,0.4392
v11_recent_only,0.0,0.4069,-0.551,-0.853,0.4112
v11_recent_only,0.025,0.4073,-0.745,-1.05,0.4126
v11_recent_only,0.05,0.4077,-0.94,-1.247,0.414
v11_recent_only,0.075,0.4081,-1.134,-1.444,0.4154
v11_recent_only,0.1,0.4087,-1.328,-1.641,0.4169
v11_recent_only,0.125,0.4097,-1.523,-1.839,0.4189
v11_recent_only,0.15,0.4107,-1.717,-2.036,0.4209
v11_recent_only,0.175,0.4117,-1.911,-2.233,0.4229
v11_recent_only,0.2,0.4128,-2.106,-2.43,0.4249
v11_recent_only,0.225,0.4139,-2.3,-2.627,0.427
v11_recent_only,0.25,0.415,-2.495,-2.825,0.4291
v11_recent_only,0.275,0.4162,-2.689,-3.022,0.4313
v11_recent_only,0.3,0.4173,-2.883,-3.219,0.4334
v11_recent_only,0.325,0.4185,-3.078,-3.416,0.4356
v11_recent_only,0.35,0.4197,-3.272,-3.613,0.4378
v11_recent_only,0.375,0.421,-3.467,-3.811,0.4401
v11_recent_only,0.4,0.4222,-3.661,-4.008,0.4423
v12_multiseed,0.0,0.4069,-0.551,-0.853,0.4112
v12_multiseed,0.025,0.4073,-0.742,-1.046,0.4125
v12_multiseed,0.05,0.4077,-0.933,-1.239,0.4139
v12_multiseed,0.075,0.4081,-1.124,-1.432,0.4152
v12_multiseed,0.1,0.4086,-1.316,-1.625,0.4168
v12_multiseed,0.125,0.4095,-1.507,-1.818,0.4186
v12_multiseed,0.15,0.4105,-1.698,-2.011,0.4206
v12_multiseed,0.175,0.4115,-1.89,-2.204,0.4225
v12_multiseed,0.2,0.4125,-2.081,-2.397,0.4244
v12_multiseed,0.225,0.4135,-2.272,-2.59,0.4264
v12_multiseed,0.25,0.4145,-2.464,-2.784,0.4285
v12_multiseed,0.275,0.4156,-2.655,-2.977,0.4304
v12_multiseed,0.3,0.4167,-2.846,-3.17,0.4325
v12_multiseed,0.325,0.4177,-3.038,-3.363,0.4346
v12_multiseed,0.35,0.4189,-3.229,-3.556,0.4367
v12_multiseed,0.375,0.42,-3.42,-3.749,0.4387
v12_multiseed,0.4,0.4212,-3.612,-3.942,0.4409
v12_intermittent,0.0,0.4069,-0.551,-0.853,0.4112
v12_intermittent,0.025,0.4088,-0.335,-0.282,0.4104
v12_intermittent,0.05,0.4129,-0.118,0.289,0.4144
v12_intermittent,0.075,0.4201,0.098,0.86,0.4244
v12_intermittent,0.1,0.4279,0.314,1.431,0.435
v12_intermittent,0.125,0.4361,0.53,2.001,0.4461
v12_intermittent,0.15,0.4446,0.746,2.572,0.4575
v12_intermittent,0.175,0.4535,0.962,3.143,0.4692
v12_intermittent,0.2,0.4628,1.178,3.714,0.4814
v12_intermittent,0.225,0.4724,1.395,4.285,0.4938
v12_intermittent,0.25,0.4823,1.611,4.855,0.5066
v12_intermittent,0.275,0.4927,1.827,5.426,0.5198
v12_intermittent,0.3,0.504,2.043,5.997,0.5339
v12_intermittent,0.325,0.5157,2.259,6.568,0.5485
v12_intermittent,0.35,0.5277,2.476,7.139,0.5634
v12_intermittent,0.375,0.54,2.691,7.709,0.5786
v12_intermittent,0.4,0.5526,2.908,8.28,0.594
