weights,w_base,w_v12ext,w_v11g93,w_chronos_ft,OOF_recency,OOF_bias_recency_pct,last_fold_bias_pct
"[0.675, 0.075, 0.1, 0.15]",0.675,0.075,0.1,0.15,0.43775,-3.5712,-1.057
"[0.625, 0.075, 0.1, 0.2]",0.625,0.075,0.1,0.2,0.45019,-4.141299999999999,-1.103
"[0.8, 0.075, 0.125, 0.0]",0.8,0.075,0.125,0.0,0.41454,-2.0220000000000002,-1.134
"[0.775, 0.075, 0.125, 0.025]",0.775,0.075,0.125,0.025,0.41698999999999997,-2.3074,-1.158
"[0.75, 0.075, 0.125, 0.05]",0.75,0.075,0.125,0.05,0.41996,-2.5926,-1.181
"[0.725, 0.075, 0.125, 0.075]",0.725,0.075,0.125,0.075,0.42357,-2.8779999999999997,-1.204
"[0.7, 0.075, 0.125, 0.1]",0.7,0.075,0.125,0.1,0.42819999999999997,-3.1629000000000005,-1.227
"[0.675, 0.075, 0.125, 0.125]",0.675,0.075,0.125,0.125,0.43334,-3.4481,-1.25
"[0.65, 0.075, 0.125, 0.15]",0.65,0.075,0.125,0.15,0.43896,-3.7333,-1.273
"[0.6, 0.075, 0.125, 0.2]",0.6,0.075,0.125,0.2,0.45142000000000004,-4.3034,-1.319
"[0.775, 0.075, 0.15, 0.0]",0.775,0.075,0.15,0.0,0.41540999999999995,-2.1846,-1.351
"[0.75, 0.075, 0.15, 0.025]",0.75,0.075,0.15,0.025,0.41786,-2.4695,-1.374
"[0.725, 0.075, 0.15, 0.05]",0.725,0.075,0.15,0.05,0.4209,-2.7549,-1.397
"[0.7, 0.075, 0.15, 0.075]",0.7,0.075,0.15,0.075,0.42464999999999997,-3.0401,-1.42
"[0.675, 0.075, 0.15, 0.1]",0.675,0.075,0.15,0.1,0.42939,-3.325,-1.443
"[0.65, 0.075, 0.15, 0.125]",0.65,0.075,0.15,0.125,0.43455,-3.6102000000000003,-1.466
"[0.625, 0.075, 0.15, 0.15]",0.625,0.075,0.15,0.15,0.44011999999999996,-3.8954,-1.489
"[0.725, 0.075, 0.2, 0.0]",0.725,0.075,0.2,0.0,0.41725,-2.5090000000000003,-1.783
"[0.7, 0.075, 0.2, 0.025]",0.7,0.075,0.2,0.025,0.41972,-2.7939,-1.806
"[0.675, 0.075, 0.2, 0.05]",0.675,0.075,0.2,0.05,0.42278,-3.0791,-1.829
"[0.65, 0.075, 0.2, 0.075]",0.65,0.075,0.2,0.075,0.42695,-3.3643,-1.852
"[0.625, 0.075, 0.2, 0.1]",0.625,0.075,0.2,0.1,0.43171000000000004,-3.6491999999999996,-1.875
"[0.6, 0.075, 0.2, 0.125]",0.6,0.075,0.2,0.125,0.43687,-3.9349000000000003,-1.899
"[0.9, 0.1, 0.0, 0.0]",0.9,0.1,0.0,0.0,0.41071,-1.3376,-0.185
"[0.875, 0.1, 0.0, 0.025]",0.875,0.1,0.0,0.025,0.41304,-1.6225,-0.208
"[0.85, 0.1, 0.0, 0.05]",0.85,0.1,0.0,0.05,0.41589,-1.9079,-0.231
"[0.825, 0.1, 0.0, 0.075]",0.825,0.1,0.0,0.075,0.41934,-2.1931000000000003,-0.254
"[0.8, 0.1, 0.0, 0.1]",0.8,0.1,0.0,0.1,0.4234,-2.478,-0.277
"[0.775, 0.1, 0.0, 0.125]",0.775,0.1,0.0,0.125,0.42828,-2.7632,-0.3
"[0.75, 0.1, 0.0, 0.15]",0.75,0.1,0.0,0.15,0.43378,-3.0484,-0.323
"[0.7, 0.1, 0.0, 0.2]",0.7,0.1,0.0,0.2,0.4461,-3.619,-0.37
"[0.875, 0.1, 0.025, 0.0]",0.875,0.1,0.025,0.0,0.4115,-1.4997000000000003,-0.401
"[0.85, 0.1, 0.025, 0.025]",0.85,0.1,0.025,0.025,0.41388,-1.7848,-0.424
"[0.825, 0.1, 0.025, 0.05]",0.825,0.1,0.025,0.05,0.41678000000000004,-2.0700000000000003,-0.447
"[0.8, 0.1, 0.025, 0.075]",0.8,0.1,0.025,0.075,0.42027000000000003,-2.3551999999999995,-0.47
"[0.775, 0.1, 0.025, 0.1]",0.775,0.1,0.025,0.1,0.42435999999999996,-2.6401000000000003,-0.493
"[0.75, 0.1, 0.025, 0.125]",0.75,0.1,0.025,0.125,0.42939,-2.9258,-0.517
"[0.725, 0.1, 0.025, 0.15]",0.725,0.1,0.025,0.15,0.43491,-3.211,-0.54
"[0.675, 0.1, 0.025, 0.2]",0.675,0.1,0.025,0.2,0.44728,-3.7813,-0.586
"[0.85, 0.1, 0.05, 0.0]",0.85,0.1,0.05,0.0,0.41235,-1.662,-0.617
"[0.825, 0.1, 0.05, 0.025]",0.825,0.1,0.05,0.025,0.41475,-1.9469,-0.64
"[0.8, 0.1, 0.05, 0.05]",0.8,0.1,0.05,0.05,0.41765,-2.2321,-0.663
"[0.775, 0.1, 0.05, 0.075]",0.775,0.1,0.05,0.075,0.42116,-2.5178000000000003,-0.687
"[0.75, 0.1, 0.05, 0.1]",0.75,0.1,0.05,0.1,0.42541,-2.8027,-0.71
"[0.725, 0.1, 0.05, 0.125]",0.725,0.1,0.05,0.125,0.43053,-3.0879,-0.733
"[0.7, 0.1, 0.05, 0.15]",0.7,0.1,0.05,0.15,0.43606999999999996,-3.3731,-0.756
"[0.6499999999999999, 0.1, 0.05, 0.2]",0.6499999999999999,0.1,0.05,0.2,0.44843,-3.9433999999999996,-0.802
"[0.825, 0.1, 0.075, 0.0]",0.825,0.1,0.075,0.0,0.41318999999999995,-1.8241,-0.833
"[0.8, 0.1, 0.075, 0.025]",0.8,0.1,0.075,0.025,0.41554,-2.1095,-0.857
"[0.775, 0.1, 0.075, 0.05]",0.775,0.1,0.075,0.05,0.41851,-2.3947,-0.88
"[0.75, 0.1, 0.075, 0.075]",0.75,0.1,0.075,0.075,0.42215,-2.6799,-0.903
"[0.725, 0.1, 0.075, 0.1]",0.725,0.1,0.075,0.1,0.42655,-2.9648000000000003,-0.926
"[0.7, 0.1, 0.075, 0.125]",0.7,0.1,0.075,0.125,0.43166,-3.25,-0.949
"[0.675, 0.1, 0.075, 0.15]",0.675,0.1,0.075,0.15,0.43723,-3.5354,-0.972
"[0.625, 0.1, 0.075, 0.2]",0.625,0.1,0.075,0.2,0.44966,-4.1055,-1.018
"[0.8, 0.1, 0.1, 0.0]",0.8,0.1,0.1,0.0,0.41406000000000004,-1.9867,-1.05
"[0.775, 0.1, 0.1, 0.025]",0.775,0.1,0.1,0.025,0.41646,-2.2716000000000003,-1.073
"[0.75, 0.1, 0.1, 0.05]",0.75,0.1,0.1,0.05,0.41945,-2.5568000000000004,-1.096
"[0.725, 0.1, 0.1, 0.075]",0.725,0.1,0.1,0.075,0.42308999999999997,-2.842,-1.119
"[0.7, 0.1, 0.1, 0.1]",0.7,0.1,0.1,0.1,0.42766,-3.1269,-1.142
"[0.675, 0.1, 0.1, 0.125]",0.675,0.1,0.1,0.125,0.43282,-3.4122999999999997,-1.165
"[0.65, 0.1, 0.1, 0.15]",0.65,0.1,0.1,0.15,0.43836,-3.6975,-1.188
"[0.6, 0.1, 0.1, 0.2]",0.6,0.1,0.1,0.2,0.45087,-4.2676,-1.234
"[0.775, 0.1, 0.125, 0.0]",0.775,0.1,0.125,0.0,0.41496,-2.1488,-1.266
"[0.75, 0.1, 0.125, 0.025]",0.75,0.1,0.125,0.025,0.41735,-2.4337,-1.289
"[0.725, 0.1, 0.125, 0.05]",0.725,0.1,0.125,0.05,0.42039000000000004,-2.7189,-1.312
"[0.7, 0.1, 0.125, 0.075]",0.7,0.1,0.125,0.075,0.42411,-3.0041,-1.335
"[0.675, 0.1, 0.125, 0.1]",0.675,0.1,0.125,0.1,0.42884,-3.2892,-1.358
"[0.65, 0.1, 0.125, 0.125]",0.65,0.1,0.125,0.125,0.43398000000000003,-3.5744000000000007,-1.381
"[0.625, 0.1, 0.125, 0.15]",0.625,0.1,0.125,0.15,0.43957,-3.8596,-1.404
"[0.75, 0.1, 0.15, 0.0]",0.75,0.1,0.15,0.0,0.4158,-2.3109,-1.482
"[0.725, 0.1, 0.15, 0.025]",0.725,0.1,0.15,0.025,0.41827000000000003,-2.5958,-1.505
"[0.7, 0.1, 0.15, 0.05]",0.7,0.1,0.15,0.05,0.42135999999999996,-2.8810000000000002,-1.528
"[0.675, 0.1, 0.15, 0.075]",0.675,0.1,0.15,0.075,0.42527000000000004,-3.1664000000000003,-1.551
"[0.65, 0.1, 0.15, 0.1]",0.65,0.1,0.15,0.1,0.42998000000000003,-3.4513,-1.574
"[0.625, 0.1, 0.15, 0.125]",0.625,0.1,0.15,0.125,0.43514,-3.737,-1.598
"[0.6, 0.1, 0.15, 0.15]",0.6,0.1,0.15,0.15,0.44079999999999997,-4.0222,-1.621
"[0.7, 0.1, 0.2, 0.0]",0.7,0.1,0.2,0.0,0.41769,-2.6351,-1.914
"[0.675, 0.1, 0.2, 0.025]",0.675,0.1,0.2,0.025,0.42013,-2.9207,-1.938
"[0.6499999999999999, 0.1, 0.2, 0.05]",0.6499999999999999,0.1,0.2,0.05,0.42332,-3.2059,-1.961
"[0.625, 0.1, 0.2, 0.075]",0.625,0.1,0.2,0.075,0.42752,-3.4911,-1.984
"[0.6, 0.1, 0.2, 0.1]",0.6,0.1,0.2,0.1,0.43235,-3.776,-2.007
"[0.875, 0.125, 0.0, 0.0]",0.875,0.125,0.0,0.0,0.41105,-1.4639,-0.316
"[0.85, 0.125, 0.0, 0.025]",0.85,0.125,0.0,0.025,0.4134,-1.7488,-0.339
"[0.825, 0.125, 0.0, 0.05]",0.825,0.125,0.0,0.05,0.41635,-2.034,-0.362
"[0.8, 0.125, 0.0, 0.075]",0.8,0.125,0.0,0.075,0.41979,-2.3199,-0.386
"[0.775, 0.125, 0.0, 0.1]",0.775,0.125,0.0,0.1,0.42395,-2.6048,-0.409
"[0.75, 0.125, 0.0, 0.125]",0.75,0.125,0.0,0.125,0.42887,-2.89,-0.432
"[0.725, 0.125, 0.0, 0.15]",0.725,0.125,0.0,0.15,0.43438999999999994,-3.1752000000000002,-0.455
"[0.675, 0.125, 0.0, 0.2]",0.675,0.125,0.0,0.2,0.44677999999999995,-3.7453,-0.501
"[0.85, 0.125, 0.025, 0.0]",0.85,0.125,0.025,0.0,0.41192,-1.6260000000000001,-0.532
"[0.825, 0.125, 0.025, 0.025]",0.825,0.125,0.025,0.025,0.41426999999999997,-1.9114000000000002,-0.556
"[0.8, 0.125, 0.025, 0.05]",0.8,0.125,0.025,0.05,0.41718999999999995,-2.1967999999999996,-0.579
"[0.775, 0.125, 0.025, 0.075]",0.775,0.125,0.025,0.075,0.42074999999999996,-2.482,-0.602
"[0.75, 0.125, 0.025, 0.1]",0.75,0.125,0.025,0.1,0.42489,-2.7668999999999997,-0.625
"[0.725, 0.125, 0.025, 0.125]",0.725,0.125,0.025,0.125,0.43001,-3.0521000000000003,-0.648
"[0.7, 0.125, 0.025, 0.15]",0.7,0.125,0.025,0.15,0.43555,-3.3373000000000004,-0.671
"[0.6499999999999999, 0.125, 0.025, 0.2]",0.6499999999999999,0.125,0.025,0.2,0.44796,-3.9073999999999995,-0.717
"[0.825, 0.125, 0.05, 0.0]",0.825,0.125,0.05,0.0,0.41276,-1.7886,-0.749
"[0.8, 0.125, 0.05, 0.025]",0.8,0.125,0.05,0.025,0.41511,-2.0737,-0.772
"[0.775, 0.125, 0.05, 0.05]",0.775,0.125,0.05,0.05,0.41808,-2.3589,-0.795
"[0.75, 0.125, 0.05, 0.075]",0.75,0.125,0.05,0.075,0.42164,-2.6441,-0.818
"[0.725, 0.125, 0.05, 0.1]",0.725,0.125,0.05,0.1,0.42600000000000005,-2.9290000000000003,-0.841
"[0.7, 0.125, 0.05, 0.125]",0.7,0.125,0.05,0.125,0.43113999999999997,-3.2142000000000004,-0.864
"[0.675, 0.125, 0.05, 0.15]",0.675,0.125,0.05,0.15,0.43668,-3.4993999999999996,-0.887
"[0.625, 0.125, 0.05, 0.2]",0.625,0.125,0.05,0.2,0.44914,-4.0697,-0.933
"[0.8, 0.125, 0.075, 0.0]",0.8,0.125,0.075,0.0,0.41361,-1.9508999999999999,-0.965
"[0.775, 0.125, 0.075, 0.025]",0.775,0.125,0.075,0.025,0.41598,-2.2358000000000002,-0.988
"[0.75, 0.125, 0.075, 0.05]",0.75,0.125,0.075,0.05,0.41896999999999995,-2.521,-1.011
"[0.725, 0.125, 0.075, 0.075]",0.725,0.125,0.075,0.075,0.4226,-2.8062,-1.034
"[0.7, 0.125, 0.075, 0.1]",0.7,0.125,0.075,0.1,0.42713999999999996,-3.0911,-1.057
"[0.675, 0.125, 0.075, 0.125]",0.675,0.125,0.075,0.125,0.4323,-3.3763,-1.08
"[0.65, 0.125, 0.075, 0.15]",0.65,0.125,0.075,0.15,0.43784,-3.6614999999999998,-1.103
"[0.6, 0.125, 0.075, 0.2]",0.6,0.125,0.075,0.2,0.45037000000000005,-4.2322999999999995,-1.15
"[0.775, 0.125, 0.1, 0.0]",0.775,0.125,0.1,0.0,0.41445,-2.113,-1.181
"[0.75, 0.125, 0.1, 0.025]",0.75,0.125,0.1,0.025,0.41691999999999996,-2.3979,-1.204
"[0.725, 0.125, 0.1, 0.05]",0.725,0.125,0.1,0.05,0.41991,-2.6831,-1.227
"[0.7, 0.125, 0.1, 0.075]",0.7,0.125,0.1,0.075,0.42356,-2.9683,-1.25
"[0.675, 0.125, 0.1, 0.1]",0.675,0.125,0.1,0.1,0.4283,-3.2531999999999996,-1.273
"[0.65, 0.125, 0.1, 0.125]",0.65,0.125,0.1,0.125,0.43346,-3.5389,-1.297
"[0.625, 0.125, 0.1, 0.15]",0.625,0.125,0.1,0.15,0.43905000000000005,-3.8243,-1.32
"[0.75, 0.125, 0.125, 0.0]",0.75,0.125,0.125,0.0,0.41537,-2.2751,-1.397
"[0.725, 0.125, 0.125, 0.025]",0.725,0.125,0.125,0.025,0.41779,-2.56,-1.42
"[0.7, 0.125, 0.125, 0.05]",0.7,0.125,0.125,0.05,0.42084999999999995,-2.8452,-1.443
"[0.675, 0.125, 0.125, 0.075]",0.675,0.125,0.125,0.075,0.42474999999999996,-3.1309000000000005,-1.467
"[0.65, 0.125, 0.125, 0.1]",0.65,0.125,0.125,0.1,0.42946,-3.4158,-1.49
"[0.625, 0.125, 0.125, 0.125]",0.625,0.125,0.125,0.125,0.43462,-3.7012,-1.513
"[0.6, 0.125, 0.125, 0.15]",0.6,0.125,0.125,0.15,0.44028,-3.9863999999999997,-1.536
"[0.725, 0.125, 0.15, 0.0]",0.725,0.125,0.15,0.0,0.41623999999999994,-2.4372,-1.613
"[0.7, 0.125, 0.15, 0.025]",0.7,0.125,0.15,0.025,0.41871,-2.7226,-1.637
"[0.675, 0.125, 0.15, 0.05]",0.675,0.125,0.15,0.05,0.42181,-3.0078000000000005,-1.66
"[0.65, 0.125, 0.15, 0.075]",0.65,0.125,0.15,0.075,0.42586,-3.293,-1.683
"[0.625, 0.125, 0.15, 0.1]",0.625,0.125,0.15,0.1,0.43062,-3.5781,-1.706
"[0.6, 0.125, 0.15, 0.125]",0.6,0.125,0.15,0.125,0.43583000000000005,-3.8633,-1.729
"[0.675, 0.125, 0.2, 0.0]",0.675,0.125,0.2,0.0,0.41813,-2.7619,-2.046
"[0.6499999999999999, 0.125, 0.2, 0.025]",0.6499999999999999,0.125,0.2,0.025,0.42064,-3.0467999999999997,-2.069
"[0.625, 0.125, 0.2, 0.05]",0.625,0.125,0.2,0.05,0.42389,-3.3322000000000003,-2.092
"[0.6, 0.125, 0.2, 0.075]",0.6,0.125,0.2,0.075,0.42816,-3.6174,-2.115
"[0.85, 0.15, 0.0, 0.0]",0.85,0.15,0.0,0.0,0.41149,-1.5906999999999998,-0.448
"[0.825, 0.15, 0.0, 0.025]",0.825,0.15,0.0,0.025,0.41384,-1.8756000000000002,-0.471
"[0.8, 0.15, 0.0, 0.05]",0.8,0.15,0.0,0.05,0.41673000000000004,-2.1608,-0.494
"[0.775, 0.15, 0.0, 0.075]",0.775,0.15,0.0,0.075,0.42028999999999994,-2.446,-0.517
"[0.75, 0.15, 0.0, 0.1]",0.75,0.15,0.0,0.1,0.42445,-2.7311,-0.54
"[0.725, 0.15, 0.0, 0.125]",0.725,0.15,0.0,0.125,0.42954000000000003,-3.0162999999999998,-0.563
"[0.7, 0.15, 0.0, 0.15]",0.7,0.15,0.0,0.15,0.43508,-3.3015000000000003,-0.586
"[0.65, 0.15, 0.0, 0.2]",0.65,0.15,0.0,0.2,0.44749,-3.8716,-0.632
"[0.825, 0.15, 0.025, 0.0]",0.825,0.15,0.025,0.0,0.41230999999999995,-1.7528000000000004,-0.664
"[0.8, 0.15, 0.025, 0.025]",0.8,0.15,0.025,0.025,0.41468,-2.0377,-0.687
"[0.775, 0.15, 0.025, 0.05]",0.775,0.15,0.025,0.05,0.41767,-2.3229,-0.71
"[0.75, 0.15, 0.025, 0.075]",0.75,0.15,0.025,0.075,0.42123,-2.6083,-0.733
"[0.725, 0.15, 0.025, 0.1]",0.725,0.15,0.025,0.1,0.42552999999999996,-2.8932,-0.756
"[0.7, 0.15, 0.025, 0.125]",0.7,0.15,0.025,0.125,0.43067,-3.1784,-0.779
"[0.675, 0.15, 0.025, 0.15]",0.675,0.15,0.025,0.15,0.43621,-3.4636000000000005,-0.802
"[0.625, 0.15, 0.025, 0.2]",0.625,0.15,0.025,0.2,0.44869000000000003,-4.0342,-0.849
"[0.8, 0.15, 0.05, 0.0]",0.8,0.15,0.05,0.0,0.41318,-1.9148999999999998,-0.88
"[0.775, 0.15, 0.05, 0.025]",0.775,0.15,0.05,0.025,0.41555,-2.1997999999999998,-0.903
"[0.75, 0.15, 0.05, 0.05]",0.75,0.15,0.05,0.05,0.41854,-2.4852,-0.926
"[0.725, 0.15, 0.05, 0.075]",0.725,0.15,0.05,0.075,0.42218999999999995,-2.7704,-0.949
"[0.7, 0.15, 0.05, 0.1]",0.7,0.15,0.05,0.1,0.42664,-3.0553,-0.972
"[0.675, 0.15, 0.05, 0.125]",0.675,0.15,0.05,0.125,0.43179999999999996,-3.341,-0.996
"[0.65, 0.15, 0.05, 0.15]",0.65,0.15,0.05,0.15,0.43737000000000004,-3.6262,-1.019
"[0.6, 0.15, 0.05, 0.2]",0.6,0.15,0.05,0.2,0.44987,-4.1963,-1.065
"[0.775, 0.15, 0.075, 0.0]",0.775,0.15,0.075,0.0,0.41402,-2.077,-1.096
"[0.75, 0.15, 0.075, 0.025]",0.75,0.15,0.075,0.025,0.41644000000000003,-2.3621,-1.119
"[0.725, 0.15, 0.075, 0.05]",0.725,0.15,0.075,0.05,0.41942999999999997,-2.6472999999999995,-1.142
"[0.7, 0.15, 0.075, 0.075]",0.7,0.15,0.075,0.075,0.42314999999999997,-2.933,-1.166
"[0.675, 0.15, 0.075, 0.1]",0.675,0.15,0.075,0.1,0.42778,-3.2179,-1.189
"[0.65, 0.15, 0.075, 0.125]",0.65,0.15,0.075,0.125,0.43296,-3.5031,-1.212
"[0.625, 0.15, 0.075, 0.15]",0.625,0.15,0.075,0.15,0.43855,-3.7883,-1.235
"[0.75, 0.15, 0.1, 0.0]",0.75,0.15,0.1,0.0,0.41489,-2.2393,-1.312
"[0.725, 0.15, 0.1, 0.025]",0.725,0.15,0.1,0.025,0.41736,-2.5242,-1.335
"[0.7, 0.15, 0.1, 0.05]",0.7,0.15,0.1,0.05,0.42039,-2.8099,-1.359
"[0.675, 0.15, 0.1, 0.075]",0.675,0.15,0.1,0.075,0.4242,-3.0951,-1.382
"[0.65, 0.15, 0.1, 0.1]",0.65,0.15,0.1,0.1,0.42889,-3.3800000000000003,-1.405
"[0.625, 0.15, 0.1, 0.125]",0.625,0.15,0.1,0.125,0.43410000000000004,-3.6652,-1.428
"[0.6, 0.15, 0.1, 0.15]",0.6,0.15,0.1,0.15,0.43976000000000004,-3.9504,-1.451
"[0.725, 0.15, 0.125, 0.0]",0.725,0.15,0.125,0.0,0.41581,-2.4019,-1.529
"[0.7, 0.15, 0.125, 0.025]",0.7,0.15,0.125,0.025,0.41828,-2.6868,-1.552
"[0.675, 0.15, 0.125, 0.05]",0.675,0.15,0.125,0.05,0.42138,-2.972,-1.575
"[0.65, 0.15, 0.125, 0.075]",0.65,0.15,0.125,0.075,0.42532000000000003,-3.2572,-1.598
"[0.625, 0.15, 0.125, 0.1]",0.625,0.15,0.125,0.1,0.43010000000000004,-3.5421000000000005,-1.621
"[0.6, 0.15, 0.125, 0.125]",0.6,0.15,0.125,0.125,0.43533,-3.8273,-1.644
"[0.7, 0.15, 0.15, 0.0]",0.7,0.15,0.15,0.0,0.41673,-2.564,-1.745
"[0.675, 0.15, 0.15, 0.025]",0.675,0.15,0.15,0.025,0.41922000000000004,-2.8489,-1.768
"[0.65, 0.15, 0.15, 0.05]",0.65,0.15,0.15,0.05,0.42232000000000003,-3.1341,-1.791
"[0.625, 0.15, 0.15, 0.075]",0.625,0.15,0.15,0.075,0.4265,-3.4193,-1.814
"[0.6, 0.15, 0.15, 0.1]",0.6,0.15,0.15,0.1,0.43130999999999997,-3.7042,-1.837
"[0.65, 0.15, 0.2, 0.0]",0.65,0.15,0.2,0.0,0.41857,-2.8882000000000003,-2.177
"[0.625, 0.15, 0.2, 0.025]",0.625,0.15,0.2,0.025,0.42110000000000003,-3.1731,-2.2
"[0.6, 0.15, 0.2, 0.05]",0.6,0.15,0.2,0.05,0.42453,-3.4583,-2.223
"[0.8, 0.2, 0.0, 0.0]",0.8,0.2,0.0,0.0,0.41227,-1.8433000000000002,-0.71
"[0.775, 0.2, 0.0, 0.025]",0.775,0.2,0.0,0.025,0.41474,-2.1285,-0.733
"[0.75, 0.2, 0.0, 0.05]",0.75,0.2,0.0,0.05,0.41767,-2.4139,-0.757
"[0.725, 0.2, 0.0, 0.075]",0.725,0.2,0.0,0.075,0.4213,-2.6991,-0.78
"[0.7, 0.2, 0.0, 0.1]",0.7,0.2,0.0,0.1,0.42568,-2.9842999999999997,-0.803
"[0.675, 0.2, 0.0, 0.125]",0.675,0.2,0.0,0.125,0.43084,-3.2691999999999997,-0.826
"[0.65, 0.2, 0.0, 0.15]",0.65,0.2,0.0,0.15,0.4364,-3.5546,-0.849
"[0.6, 0.2, 0.0, 0.2]",0.6,0.2,0.0,0.2,0.44894999999999996,-4.1247,-0.895
"[0.775, 0.2, 0.025, 0.0]",0.775,0.2,0.025,0.0,0.41319,-2.0058999999999996,-0.927
"[0.75, 0.2, 0.025, 0.025]",0.75,0.2,0.025,0.025,0.41558,-2.2911,-0.95
"[0.725, 0.2, 0.025, 0.05]",0.725,0.2,0.025,0.05,0.41861000000000004,-2.576,-0.973
"[0.7, 0.2, 0.025, 0.075]",0.7,0.2,0.025,0.075,0.42225999999999997,-2.8612,-0.996
"[0.675, 0.2, 0.025, 0.1]",0.675,0.2,0.025,0.1,0.42679,-3.1464,-1.019
"[0.6499999999999999, 0.2, 0.025, 0.125]",0.6499999999999999,0.2,0.025,0.125,0.43196999999999997,-3.4314999999999998,-1.042
"[0.625, 0.2, 0.025, 0.15]",0.625,0.2,0.025,0.15,0.43757999999999997,-3.7167000000000003,-1.065
"[0.75, 0.2, 0.05, 0.0]",0.75,0.2,0.05,0.0,0.41406,-2.1679999999999997,-1.143
"[0.725, 0.2, 0.05, 0.025]",0.725,0.2,0.05,0.025,0.41645,-2.4532,-1.166
"[0.7, 0.2, 0.05, 0.05]",0.7,0.2,0.05,0.05,0.41955,-2.7381,-1.189
"[0.675, 0.2, 0.05, 0.075]",0.675,0.2,0.05,0.075,0.42322,-3.0233,-1.212
"[0.6499999999999999, 0.2, 0.05, 0.1]",0.6499999999999999,0.2,0.05,0.1,0.42793000000000003,-3.3087,-1.235
"[0.625, 0.2, 0.05, 0.125]",0.625,0.2,0.05,0.125,0.43313,-3.5936,-1.258
"[0.6, 0.2, 0.05, 0.15]",0.6,0.2,0.05,0.15,0.43874,-3.8788000000000005,-1.281
"[0.725, 0.2, 0.075, 0.0]",0.725,0.2,0.075,0.0,0.41495000000000004,-2.3301,-1.359
"[0.7, 0.2, 0.075, 0.025]",0.7,0.2,0.075,0.025,0.41739,-2.6153,-1.382
"[0.675, 0.2, 0.075, 0.05]",0.675,0.2,0.075,0.05,0.42049000000000003,-2.9002000000000003,-1.405
"[0.65, 0.2, 0.075, 0.075]",0.65,0.2,0.075,0.075,0.42433,-3.1856000000000004,-1.428
"[0.625, 0.2, 0.075, 0.1]",0.625,0.2,0.075,0.1,0.42911,-3.4707999999999997,-1.451
"[0.6, 0.2, 0.075, 0.125]",0.6,0.2,0.075,0.125,0.43426,-3.7557,-1.474
"[0.7, 0.2, 0.1, 0.0]",0.7,0.2,0.1,0.0,0.41581999999999997,-2.4922,-1.575
"[0.675, 0.2, 0.1, 0.025]",0.675,0.2,0.1,0.025,0.41831,-2.7774,-1.598
"[0.6499999999999999, 0.2, 0.1, 0.05]",0.6499999999999999,0.2,0.1,0.05,0.42145,-3.0625,-1.621
"[0.625, 0.2, 0.1, 0.075]",0.625,0.2,0.1,0.075,0.42544,-3.3477,-1.644
"[0.6, 0.2, 0.1, 0.1]",0.6,0.2,0.1,0.1,0.43027,-3.6334000000000004,-1.668
"[0.675, 0.2, 0.125, 0.0]",0.675,0.2,0.125,0.0,0.41674,-2.6543,-1.791
"[0.6499999999999999, 0.2, 0.125, 0.025]",0.6499999999999999,0.2,0.125,0.025,0.41925,-2.9397,-1.814
"[0.625, 0.2, 0.125, 0.05]",0.625,0.2,0.125,0.05,0.42242,-3.2251,-1.838
"[0.6, 0.2, 0.125, 0.075]",0.6,0.2,0.125,0.075,0.4266,-3.5102999999999995,-1.861
"[0.65, 0.2, 0.15, 0.0]",0.65,0.2,0.15,0.0,0.41766000000000003,-2.8171,-2.008
"[0.625, 0.2, 0.15, 0.025]",0.625,0.2,0.15,0.025,0.42018999999999995,-3.1023000000000005,-2.031
"[0.6, 0.2, 0.15, 0.05]",0.6,0.2,0.15,0.05,0.42352,-3.3872,-2.054
"[0.6, 0.2, 0.2, 0.0]",0.6,0.2,0.2,0.0,0.41957,-3.1413,-2.44
