name,OOF_mean,OOF_recency,OOF_folds,in_sample,gap
v8+v9+v9_recent+weekly_tau0.55_ch08_chABC05_brand03,0.398,0.4239,"[0.3112, 0.3988, 0.484]",0.3642,0.0338
v8+v9+v9_recent+weekly_tau0.52_ch08_chABC05_brand03,0.3981,0.424,"[0.311, 0.3989, 0.4843]",0.364,0.0341
v8+v9+v9_recent+weekly_tau0.5_ch08_chABC05_brand03,0.3981,0.424,"[0.311, 0.3989, 0.4843]",0.3639,0.0342
v8+v9+v9_recent_tau0.55_ch08_chABC05_brand03,0.3983,0.4242,"[0.3118, 0.3987, 0.4844]",0.3647,0.0336
v8+v9+v9_recent_tau0.5_ch08_chABC05_brand03,0.3984,0.4243,"[0.3119, 0.3988, 0.4845]",0.3646,0.0338
v8+v9+v9_recent_tau0.52_ch08_chABC05_brand03,0.3984,0.4243,"[0.3119, 0.3988, 0.4845]",0.3646,0.0338
v8+v9+v9_recent+weekly_tau0.52_ch08,0.4,0.4261,"[0.3145, 0.3976, 0.4879]",0.3675,0.0325
v8+v9+v9_recent+weekly_tau0.5_ch08,0.4,0.4261,"[0.3145, 0.3976, 0.4879]",0.3674,0.0326
v8+v9+v9_recent+weekly_tau0.55_ch08,0.4003,0.4262,"[0.3158, 0.3975, 0.4876]",0.3677,0.0326
v8+v9+v9_recent_tau0.52_ch08,0.4003,0.4263,"[0.3153, 0.3974, 0.4881]",0.3681,0.0322
v8+v9+v9_recent_tau0.55_ch08,0.4002,0.4263,"[0.3153, 0.3973, 0.4881]",0.3682,0.032
v8+v9+v9_recent_tau0.5_ch08,0.4003,0.4264,"[0.3153, 0.3975, 0.4882]",0.3681,0.0322
v8+v9_tau0.55_ch08_chABC05_brand03,0.4016,0.4267,"[0.3154, 0.4052, 0.4842]",0.3683,0.0333
v8+v9_tau0.52_ch08_chABC05_brand03,0.4016,0.4267,"[0.3154, 0.4052, 0.4842]",0.3682,0.0334
v8+v9_tau0.5_ch08_chABC05_brand03,0.4016,0.4267,"[0.3154, 0.4052, 0.4842]",0.3681,0.0335
v8+v9_tau0.52_ch08,0.4031,0.4286,"[0.3175, 0.4038, 0.488]",0.3715,0.0316
v8+v9_tau0.55_ch08,0.4031,0.4286,"[0.3175, 0.4038, 0.488]",0.3716,0.0315
v8+v9_tau0.5_ch08,0.4031,0.4286,"[0.3175, 0.4038, 0.488]",0.3715,0.0316
v8+v9+v9_recent+weekly_tau0.5_chABC08,0.4054,0.4301,"[0.3255, 0.4019, 0.4889]",0.3687,0.0367
v8+v9+v9_recent+weekly_tau0.52_chABC08,0.4056,0.4302,"[0.3262, 0.4018, 0.4889]",0.3688,0.0368
v8+v9+v9_recent+weekly_tau0.55_chABC08,0.406,0.4303,"[0.3275, 0.4018, 0.4886]",0.3689,0.0371
v8+v9+v9_recent_tau0.52_chABC08,0.4057,0.4303,"[0.3264, 0.4017, 0.4891]",0.3693,0.0364
v8+v9+v9_recent_tau0.5_chABC08,0.4057,0.4304,"[0.3263, 0.4018, 0.4891]",0.3692,0.0365
v8+v9+v9_recent_tau0.55_chABC08,0.4058,0.4304,"[0.3266, 0.4017, 0.4891]",0.3693,0.0365
v8+v9_tau0.52_chABC08,0.4074,0.4319,"[0.3252, 0.4081, 0.4889]",0.3725,0.0349
v8+v9_tau0.55_chABC08,0.4074,0.4319,"[0.3252, 0.4081, 0.4889]",0.3726,0.0348
v8+v9_tau0.5_chABC08,0.4074,0.4319,"[0.3252, 0.4081, 0.4889]",0.3725,0.0349
v8+v9+v9_recent+weekly_tau0.5_chABC05_brand03,0.4076,0.4327,"[0.3283, 0.4012, 0.4934]",0.3732,0.0344
v8+v9+v9_recent+weekly_tau0.52_chABC05_brand03,0.4079,0.4329,"[0.329, 0.4012, 0.4934]",0.3732,0.0347
v8+v9+v9_recent_tau0.52_chABC05_brand03,0.4079,0.4329,"[0.3291, 0.4011, 0.4936]",0.3737,0.0342
v8+v9+v9_recent_tau0.5_chABC05_brand03,0.4079,0.4329,"[0.329, 0.4011, 0.4936]",0.3737,0.0342
v8+v9+v9_recent+weekly_tau0.55_chABC05_brand03,0.4082,0.433,"[0.3303, 0.4012, 0.4931]",0.3733,0.0349
v8+v9+v9_recent_tau0.55_chABC05_brand03,0.408,0.433,"[0.3293, 0.401, 0.4936]",0.3738,0.0342
v8+v9_recent_tau0.55_ch08,0.4079,0.4342,"[0.3291, 0.3943, 0.5002]",0.3729,0.035
v8+v9_recent_tau0.55_ch08_chABC05_brand03,0.4079,0.4342,"[0.3231, 0.4038, 0.4968]",0.3687,0.0392
v8+v9_recent_tau0.52_ch08,0.408,0.4343,"[0.3291, 0.3944, 0.5004]",0.3728,0.0352
v8+v9_recent_tau0.5_ch08_chABC05_brand03,0.408,0.4343,"[0.3231, 0.4038, 0.4971]",0.3686,0.0394
v8+v9_recent_tau0.52_ch08_chABC05_brand03,0.408,0.4343,"[0.3231, 0.4038, 0.497]",0.3686,0.0394
v8+v9_recent_tau0.5_ch08,0.408,0.4344,"[0.3291, 0.3944, 0.5005]",0.3727,0.0353
v8+v9_tau0.55_chABC05_brand03,0.4096,0.4345,"[0.3278, 0.4076, 0.4933]",0.3761,0.0335
v8+v9_tau0.5_chABC05_brand03,0.4096,0.4345,"[0.3278, 0.4076, 0.4933]",0.3759,0.0337
v8+v9_tau0.52_chABC05_brand03,0.4096,0.4345,"[0.3278, 0.4076, 0.4933]",0.376,0.0336
v8+v9_recent_tau0.55_chABC08,0.4128,0.4377,"[0.3406, 0.3966, 0.5013]",0.374,0.0388
v8+v9_recent_tau0.52_chABC08,0.4129,0.4378,"[0.3406, 0.3965, 0.5015]",0.3739,0.039
v8+v9_recent_tau0.5_chABC08,0.4129,0.4379,"[0.3406, 0.3965, 0.5017]",0.3738,0.0391
v8+v9_recent_tau0.55_chABC05_brand03,0.4149,0.4402,"[0.3432, 0.3955, 0.5059]",0.3784,0.0365
v8+v9_recent_tau0.52_chABC05_brand03,0.415,0.4404,"[0.3432, 0.3955, 0.5062]",0.3783,0.0367
v8+v9_recent_tau0.5_chABC05_brand03,0.415,0.4405,"[0.3432, 0.3955, 0.5064]",0.3783,0.0367
v8_baseline_tau0.55_ch08,0.4349,0.4462,"[0.3919, 0.4433, 0.4696]",0.4233,0.0116
v8_baseline_tau0.52_ch08,0.4353,0.4465,"[0.3923, 0.4439, 0.4697]",0.4235,0.0118
v8_baseline_tau0.5_ch08,0.4355,0.4467,"[0.3926, 0.4443, 0.4697]",0.4237,0.0118
v8_baseline_tau0.55_chABC08,0.4367,0.4475,"[0.3958, 0.4444, 0.47]",0.4239,0.0128
v8+v9_weekly_tau0.5_ch08,0.4372,0.4476,"[0.3992, 0.4422, 0.4702]",0.4216,0.0156
v8+v9_weekly_tau0.5_ch08_chABC05_brand03,0.4372,0.4477,"[0.3914, 0.4533, 0.4668]",0.4168,0.0204
v8_baseline_tau0.52_chABC08,0.4372,0.4479,"[0.3964, 0.4449, 0.4703]",0.4241,0.0131
v8_baseline_tau0.5_ch08_chABC05_brand03,0.437,0.448,"[0.3877, 0.4559, 0.4673]",0.4189,0.0181
v8+v9_weekly_tau0.52_ch08,0.4381,0.4481,"[0.4023, 0.4418, 0.4703]",0.421,0.0171
v8_baseline_tau0.52_ch08_chABC05_brand03,0.4371,0.4481,"[0.3883, 0.4554, 0.4677]",0.4188,0.0183
v8_baseline_tau0.5_chABC08,0.4376,0.4482,"[0.3969, 0.4454, 0.4704]",0.4244,0.0132
v8+v9_weekly_tau0.52_ch08_chABC05_brand03,0.4381,0.4483,"[0.3946, 0.4527, 0.4671]",0.4163,0.0218
v8_baseline_tau0.55_ch08_chABC05_brand03,0.4373,0.4483,"[0.3892, 0.4547, 0.468]",0.4188,0.0185
v8_baseline_tau0.55_chABC05_brand03,0.4371,0.4486,"[0.4016, 0.4326, 0.477]",0.4294,0.0077
v8+v9_weekly_tau0.55_ch08,0.4396,0.4489,"[0.4072, 0.4413, 0.4702]",0.4202,0.0194
v8_baseline_tau0.52_chABC05_brand03,0.4375,0.449,"[0.4022, 0.4329, 0.4773]",0.4297,0.0078
v8+v9_weekly_tau0.5_chABC08,0.439,0.449,"[0.4025, 0.4435, 0.4709]",0.4226,0.0164
v8+v9_weekly_tau0.55_ch08_chABC05_brand03,0.4396,0.4491,"[0.3997, 0.4519, 0.4672]",0.4161,0.0235
v8_baseline_tau0.5_chABC05_brand03,0.4378,0.4492,"[0.4027, 0.4333, 0.4774]",0.43,0.0078
v8+v9_weekly_tau0.52_chABC08,0.4398,0.4495,"[0.4053, 0.4432, 0.4709]",0.422,0.0178
v8+v9_weekly_tau0.55_chABC08,0.4411,0.4501,"[0.4097, 0.443, 0.4706]",0.421,0.0201
v8+v9_weekly_tau0.5_chABC05_brand03,0.4395,0.4502,"[0.4089, 0.4317, 0.4779]",0.4282,0.0113
v8+v9_weekly_tau0.52_chABC05_brand03,0.44,0.4505,"[0.4106, 0.4315, 0.4779]",0.4278,0.0122
v8+v9_weekly_tau0.55_chABC05_brand03,0.4413,0.4512,"[0.415, 0.4315, 0.4775]",0.4272,0.0141
